target,location,target_end_date,horizon,output_type,output_type_id,value,origin_date
ILI incidence,LT,2026-04-05,3,quantile,0.3,36.371050946181114,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.3,14.605972258664233,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.35,65.35040207141772,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.35,48.33214956556966,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.35,37.20053828835027,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.35,15.07567863375186,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.4,66.05943505404912,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.4,48.55279817389495,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.4,37.740435973148166,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.4,16.41411330517604,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.45,66.70579055532994,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.45,49.28955735252422,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.45,38.208038559818014,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.45,16.755215004364892,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.5,67.17325208397494,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.5,50.19486351584847,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.5,38.99162786122484,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.5,18.1971814908817,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.55,67.59975167365299,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.55,50.98942694387966,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.55,39.50656397825654,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.55,19.53872883925564,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.6,68.13304215215263,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.6,51.81829453036094,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.6,39.817204023099364,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.6,21.135365922092905,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.65,68.95752737503712,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.65,52.89051815577817,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.65,40.25654596379302,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.65,22.17203122111207,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.7,69.79416692190553,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.7,53.864646594230905,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.7,40.60851324058399,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.7,23.8225271420287,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.75,70.44627057715833,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.75,55.429129672498185,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.75,41.228905648257296,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.75,28.045888962527957,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.8,71.32875502057894,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.8,57.84191486952404,2026-03-25
ILI incidence,LT,2026-04-05,3,quantile,0.8,41.90809985315865,2026-03-25
ILI incidence,LT,2026-04-12,4,quantile,0.8,28.117192198261375,2026-03-25
ILI incidence,LT,2026-03-22,1,quantile,0.85,72.48833885778535,2026-03-25
ILI incidence,LT,2026-03-29,2,quantile,0.85,58.36413896346883,2026-03-25
